trade_date,symbol,OPEN,HIGH,LOW,CLOSE
2022-03-30,000300.SH,4162.1666,4254.0989,4160.7351,4254.0989
2022-03-30,000688.SH,1084.7637,1112.6275,1084.7637,1112.5186
2022-03-30,000852.SH,6750.0048,6864.7486,6734.0734,6864.7486
2022-03-30,000903.SH,4058.6409,4153.8176,4058.5234,4153.8176
2022-03-30,000905.SH,6272.0017,6377.8744,6261.8037,6377.8744
2022-03-30,000906.SH,4512.3635,4606.3418,4510.3082,4606.3418
2022-03-30,399001.SZ,11969.3639,12263.8021,11961.0646,12263.8021
2022-03-30,399005.SZ,8061.7907,8242.9214,8057.7138,8242.9214
2022-03-30,399006.SZ,2612.7148,2696.826,2610.4065,2696.826
2022-03-30,399330.SZ,5469.0037,5631.074,5467.9124,5631.074
2022-03-31,000009.SH,5931.6025,5938.0135,5878.7273,5889.419
2022-03-31,000010.SH,8987.2762,9025.6564,8958.1493,8970.0308
2022-03-31,000016.SH,2901.0743,2915.5146,2892.105,2898.8261
2022-03-31,000300.SH,4234.7159,4247.3602,4214.5352,4222.5968
2022-03-31,000688.SH,1109.553,1109.553,1086.9895,1091.0588
2022-03-31,000852.SH,6846.3333,6846.3333,6760.0469,6772.0652
2022-03-31,000903.SH,4132.5585,4148.6234,4114.0922,4131.7569
2022-03-31,000905.SH,6361.1036,6383.0744,6313.9663,6324.9609
2022-03-31,000906.SH,4587.4942,4600.0012,4564.279,4571.2411
2022-03-31,399001.SZ,12208.9924,12220.0621,12090.2881,12118.2543
2022-03-31,399005.SZ,8214.3341,8214.3341,8108.1945,8124.4172
2022-03-31,399006.SZ,2683.1947,2686.2769,2646.2405,2659.4925
2022-03-31,399330.SZ,5602.2691,5611.5366,5551.839,5568.4898
2022-04-01,000009.SH,5852.2806,5927.0377,5837.5678,5919.516
2022-04-01,000010.SH,8922.9796,9113.5182,8902.0995,9085.8007
2022-04-01,000016.SH,2886.3607,2954.5094,2877.0654,2943.2437
2022-04-01,000300.SH,4198.8191,4290.671,4190.0835,4276.158
2022-04-01,000688.SH,1085.3059,1095.4553,1074.7932,1089.1947
2022-04-01,000852.SH,6723.2585,6790.7646,6688.701,6772.6042
2022-04-01,000903.SH,4112.0684,4210.0983,4101.7902,4196.4578
2022-04-01,000905.SH,6289.39,6373.2603,6274.0006,6364.5206
2022-04-01,000906.SH,4545.5081,4635.5483,4537.192,4622.1411
2022-04-01,399001.SZ,12040.0141,12275.0751,12009.2052,12227.9303
2022-04-01,399005.SZ,8074.9858,8277.005,8063.0602,8218.522
2022-04-01,399006.SZ,2641.7521,2687.1525,2632.9752,2666.9696
2022-04-01,399330.SZ,5532.4845,5664.5582,5522.9845,5638.7096
2022-04-06,000009.SH,5914.2902,5914.2902,5835.8564,5898.4788
2022-04-06,000010.SH,9028.9232,9083.9018,8993.1639,9061.8862
2022-04-06,000016.SH,2918.5034,2941.0537,2910.0186,2931.1983
2022-04-06,000300.SH,4258.8325,4277.5238,4236.7283,4263.8411
2022-04-06,000688.SH,1087.7552,1087.7552,1054.6987,1058.4927
2022-04-06,000852.SH,6769.7394,6769.7394,6711.304,6764.2883
2022-04-06,000903.SH,4172.318,4198.9821,4159.9663,4185.6965
2022-04-06,000905.SH,6363.002,6363.002,6279.0719,6356.9271
2022-04-06,000906.SH,4607.6408,4620.3334,4575.6334,4610.6981
2022-04-06,399001.SZ,12220.7752,12238.0188,12091.9807,12172.9114
2022-04-06,399005.SZ,8227.7901,8227.7901,8122.9046,8163.1088
2022-04-06,399006.SZ,2662.2808,2662.622,2615.9233,2633.9101
2022-04-06,399330.SZ,5635.8803,5655.865,5579.7011,5608.8521
2022-04-07,000009.SH,5864.2899,5902.4781,5780.473,5780.473
2022-04-07,000010.SH,9016.2748,9095.4902,8949.0212,8959.7352
2022-04-07,000016.SH,2916.8031,2943.2449,2896.7293,2902.4818
2022-04-07,000300.SH,4240.0237,4278.1127,4205.743,4209.0998
2022-04-07,000688.SH,1050.4342,1059.3597,1036.0738,1036.0738
2022-04-07,000852.SH,6736.3355,6768.451,6623.5857,6623.5857
2022-04-07,000903.SH,4161.8382,4200.5101,4130.2161,4138.1934
2022-04-07,000905.SH,6321.8086,6364.6276,6221.5908,6221.5908
2022-04-07,000906.SH,4585.0112,4623.6984,4539.8132,4542.1464
2022-04-07,399001.SZ,12101.3712,12205.097,11971.3335,11972.023
2022-04-07,399005.SZ,8128.1313,8200.5122,8058.4222,8058.4222
2022-04-07,399006.SZ,2611.9793,2632.097,2576.534,2578.5331
2022-04-07,399330.SZ,5571.1252,5626.4742,5523.9262,5527.4765
2022-04-08,000009.SH,5786.9869,5812.2058,5705.9399,5797.317
2022-04-08,000010.SH,8966.8792,9040.8143,8906.0536,9027.9258
2022-04-08,000016.SH,2903.2396,2929.891,2889.1975,2925.4913
2022-04-08,000300.SH,4213.2107,4237.8126,4175.5287,4230.7669
2022-04-08,000688.SH,1032.8376,1039.0962,1017.1813,1027.2438
2022-04-08,000852.SH,6635.6927,6644.7641,6496.1835,6575.2832
2022-04-08,000903.SH,4141.1935,4170.3021,4114.9197,4163.04
2022-04-08,000905.SH,6227.1952,6237.9145,6117.0139,6224.1167
2022-04-08,000906.SH,4546.5003,4567.9432,4496.6224,4560.3894
2022-04-08,399001.SZ,11988.048,12001.591,11799.0204,11959.2715
2022-04-08,399005.SZ,8085.9098,8086.3887,7937.3512,8042.6259
2022-04-08,399006.SZ,2578.7356,2609.3469,2546.5145,2569.9108
2022-04-08,399330.SZ,5534.1363,5558.7599,5469.5079,5540.0557
2022-04-11,000009.SH,5780.1272,5780.1272,5601.9415,5626.8788
2022-04-11,000010.SH,8981.1406,8981.1406,8750.9436,8775.7444
2022-04-11,000016.SH,2908.5416,2908.5416,2839.5621,2846.38
2022-04-11,000300.SH,4203.7902,4203.7902,4089.0934,4100.0703
2022-04-11,000688.SH,1022.9117,1022.9117,985.5852,988.7613
2022-04-11,000852.SH,6544.2921,6544.2921,6297.3906,6328.0652
2022-04-11,000903.SH,4134.1361,4134.1361,4036.3988,4046.4671
2022-04-11,000905.SH,6202.0226,6202.0226,6001.5658,6029.8935
2022-04-11,000906.SH,4534.3753,4534.3753,4405.5803,4419.1709
2022-04-11,399001.SZ,11876.1773,11876.1773,11482.7251,11520.2142
2022-04-11,399005.SZ,8008.6373,8008.6373,7721.3999,7745.9027
2022-04-11,399006.SZ,2536.1486,2536.1486,2455.4554,2462.0435
2022-04-11,399330.SZ,5495.1974,5495.1974,5326.9465,5339.7057
2022-04-12,000009.SH,5613.3065,5699.6915,5555.6522,5694.8513
2022-04-12,000010.SH,8781.7681,8921.305,8710.3229,8918.8101
2022-04-12,000016.SH,2854.2871,2895.5311,2827.6321,2894.2583
2022-04-12,000300.SH,4102.9711,4179.9727,4075.796,4179.9727
2022-04-12,000688.SH,987.451,994.8326,970.0519,994.4384
2022-04-12,000852.SH,6314.2162,6414.5006,6259.0516,6414.4186
2022-04-12,000903.SH,4055.2885,4128.9687,4028.6994,4128.9687
2022-04-12,000905.SH,6019.6735,6135.5702,5964.3887,6126.9065
2022-04-12,000906.SH,4419.7748,4501.7224,4388.0384,4501.7224
2022-04-12,399001.SZ,11523.2807,11756.3765,11439.5907,11756.3765
2022-04-12,399005.SZ,7749.3063,7877.707,7668.7755,7877.707
2022-04-12,399006.SZ,2461.5954,2523.6942,2459.2618,2523.6942
2022-04-12,399330.SZ,5344.9442,5464.6954,5316.3624,5464.6954
2022-04-13,000009.SH,5673.6978,5704.2691,5626.2762,5627.2959
2022-04-13,000010.SH,8873.8069,8968.3327,8841.2551,8862.0828
2022-04-13,000016.SH,2881.7352,2914.2016,2871.0549,2882.2788
2022-04-13,000300.SH,4154.4121,4194.0374,4139.737,4139.737
2022-04-13,000688.SH,989.6626,989.6626,964.8323,964.8323
2022-04-13,000852.SH,6381.7827,6388.7023,6286.2509,6286.2509
2022-04-13,000903.SH,4105.7783,4155.0486,4091.9053,4102.7525
2022-04-13,000905.SH,6094.6845,6129.6592,6039.9234,6044.3263
2022-04-13,000906.SH,4475.1075,4513.7036,4454.2792,4454.2792
2022-04-13,399001.SZ,11669.0811,11744.2452,11568.1697,11568.1697
2022-04-13,399005.SZ,7816.3433,7866.8765,7749.5866,7753.6195
2022-04-13,399006.SZ,2499.1914,2513.4747,2466.8414,2466.8414
2022-04-13,399330.SZ,5420.5071,5464.8693,5382.3629,5382.3629
2022-04-14,000009.SH,5645.445,5716.857,5635.7409,5693.1506
2022-04-14,000010.SH,8927.2799,9035.3061,8904.8944,8983.4899
2022-04-14,000016.SH,2905.7734,2947.4534,2897.0544,2928.5962
2022-04-14,000300.SH,4172.6443,4217.0612,4155.5509,4191.5684
2022-04-14,000688.SH,972.2369,982.7034,961.536,975.574
2022-04-14,000852.SH,6313.1003,6388.5558,6294.3684,6359.7083
2022-04-14,000903.SH,4137.3404,4181.5439,4121.3628,4153.4622
2022-04-14,000905.SH,6074.1342,6156.4962,6060.6813,6126.4902
2022-04-14,000906.SH,4486.5107,4537.0216,4471.4904,4511.1784
2022-04-14,399001.SZ,11662.5942,11787.1172,11587.8665,11714.6152
2022-04-14,399005.SZ,7814.8947,7870.5557,7762.0964,7835.0399
2022-04-14,399006.SZ,2495.1647,2498.8054,2443.1509,2466.2933
2022-04-14,399330.SZ,5433.1793,5479.5377,5381.8211,5442.6354
2022-04-15,000009.SH,5664.5677,5683.5319,5610.8831,5638.4096
2022-04-15,000010.SH,8930.8134,9030.8214,8922.7387,8989.0344
2022-04-15,000016.SH,2911.1385,2943.6011,2908.5561,2930.5784
2022-04-15,000300.SH,4162.3718,4211.3174,4152.974,4188.7472
2022-04-15,000688.SH,968.9073,980.147,955.7685,973.3632
2022-04-15,000852.SH,6328.2314,6334.4817,6229.4086,6275.0725
2022-04-15,000903.SH,4123.2908,4168.1811,4113.918,4148.163
2022-04-15,000905.SH,6094.1219,6122.2895,6048.1602,6070.7489
2022-04-15,000906.SH,4481.5503,4526.5551,4469.322,4499.1529
2022-04-15,399001.SZ,11626.0542,11737.7908,11552.7821,11648.5671
2022-04-15,399005.SZ,7775.865,7831.7403,7710.1728,7773.6346
2022-04-15,399006.SZ,2443.3548,2483.7462,2416.7039,2460.3624
2022-04-15,399330.SZ,5394.3408,5462.1805,5364.2603,5422.1864
2022-04-18,000009.SH,5595.2748,5674.9587,5559.3453,5656.8571
2022-04-18,000010.SH,8906.2295,8921.2224,8837.0016,8894.6536
2022-04-18,000016.SH,2902.4437,2902.4437,2875.9617,2887.7208
2022-04-18,000300.SH,4152.9306,4171.7427,4119.9941,4166.3844
2022-04-18,000688.SH,969.0595,1005.8905,964.4929,1004.6079
2022-04-18,000852.SH,6233.4211,6339.1064,6164.4363,6326.0246
2022-04-18,000903.SH,4112.1885,4117.3316,4076.4041,4106.9018
2022-04-18,000905.SH,6019.5305,6094.6714,5975.4455,6074.0069
2022-04-18,000906.SH,4460.8024,4489.2832,4427.1542,4481.3445
2022-04-18,399001.SZ,11557.5203,11710.8428,11459.8387,11691.4727
2022-04-18,399005.SZ,7733.0998,7869.8987,7668.7776,7866.2346
2022-04-18,399006.SZ,2435.8509,2491.5962,2410.8567,2487.774
2022-04-18,399330.SZ,5379.5398,5446.1929,5332.556,5438.5189
2022-04-19,000009.SH,5652.9269,5686.7146,5635.2934,5673.5791
2022-04-19,000010.SH,8877.6069,8925.0716,8785.0028,8835.1631
2022-04-19,000016.SH,2881.9007,2899.2609,2843.6485,2861.567
2022-04-19,000300.SH,4161.9328,4186.9389,4115.4184,4134.9017
2022-04-19,000688.SH,1002.9761,1010.5771,987.773,989.933
2022-04-19,000852.SH,6324.4186,6379.4262,6304.2523,6345.7861
2022-04-19,000903.SH,4103.6863,4131.364,4054.7718,4076.2058
2022-04-19,000905.SH,6067.4795,6106.9313,6052.0964,6092.3963
2022-04-19,000906.SH,4476.5499,4501.6189,4435.8729,4458.6772
2022-04-19,399001.SZ,11691.7594,11771.5532,11584.2399,11633.3232
2022-04-19,399005.SZ,7878.8464,7934.3029,7818.1079,7844.1131
2022-04-19,399006.SZ,2484.5159,2510.4063,2444.5932,2453.5454
2022-04-19,399330.SZ,5441.7828,5484.0428,5378.5421,5396.9074
2022-04-20,000009.SH,5661.8854,5663.0011,5533.0914,5548.6406
2022-04-20,000010.SH,8830.3295,8841.9546,8710.546,8732.1487
2022-04-20,000016.SH,2859.6043,2868.5693,2828.2113,2835.3517
