,ts_code,trade_date,buy_sm_vol,buy_sm_amount,sell_sm_vol,sell_sm_amount,buy_md_vol,buy_md_amount,sell_md_vol,sell_md_amount,buy_lg_vol,buy_lg_amount,sell_lg_vol,sell_lg_amount,buy_elg_vol,buy_elg_amount,sell_elg_vol,sell_elg_amount,net_mf_vol,net_mf_amount
1938,300627.SZ,20200217,29740,8432.94,29135,8273.56,49891,14152.87,47265,13411.7,48594,13812.26,46427,13179.96,4453,1266.54,9851,2799.38,15681,4496.5
1939,600624.SH,20200217,154215,15946.61,146017,15161.6,194711,20177.45,190752,19783.27,148849,15461.19,148485,15378.27,46314,4820.13,58836,6082.25,22681,2464.61
1940,300758.SZ,20200217,4203,1310.41,6006,1874.41,5211,1626.54,3194,994.73,1283,398.59,1333,415.77,427,130.99,592,181.63,1569,482.37
1941,600755.SH,20200217,43466,2968.08,61293,4197.76,59393,4054.68,71427,4886.44,66210,4525.53,62430,4265.06,34770,2392.07,8689,591.11,52516,3607.49
1942,000570.SZ,20200217,13339,555.63,10002,417.03,18018,750.16,18994,791.24,10117,421.5,12477,519.02,0,0.0,0,0.0,9227,384.2
1943,000619.SZ,20200217,12320,623.13,14292,725.15,13884,704.5,15326,776.59,8757,445.44,5343,271.33,0,0.0,0,0.0,9945,505.11
1944,002110.SZ,20200217,49820,4151.9,64493,5381.75,83514,6961.37,80325,6697.61,65153,5433.41,72858,6071.68,27421,2289.93,8232,685.58,46992,3923.21
1945,600886.SH,20200217,39775,3244.65,34820,2842.26,48131,3926.93,59034,4817.38,29810,2432.17,30712,2501.94,8851,720.23,2000,162.4,31198,2556.91
1946,601579.SH,20200217,3470,282.19,4280,348.58,5600,455.76,4495,365.79,2217,180.29,2512,203.86,0,0.0,0,0.0,2901,235.81
1947,688020.SH,20200217,2975,3194.11,5606,6043.38,7087,7622.94,6455,6953.09,7016,7557.46,5010,5386.29,1528,1657.58,1536,1649.34,505,552.1
1948,002087.SZ,20200217,49925,1718.34,64027,2210.34,63301,2180.04,62076,2140.81,39136,1350.69,42084,1447.9,19614,679.54,3788,129.55,56498,1951.23
1949,002241.SZ,20200217,187050,44368.6,187100,44482.5,245354,58279.82,277255,65891.92,266738,63390.49,307002,72960.26,264334,62926.71,192118,45630.93,98891,23781.24
1950,300499.SZ,20200217,29790,5585.17,32680,6159.3,40975,7691.95,49081,9244.25,38891,7280.64,48061,9032.3,29922,5727.36,9756,1849.28,-1664,-339.83
1951,300653.SZ,20200217,4717,3526.39,3370,2521.93,5744,4294.42,4974,3720.07,4891,3658.32,6668,4984.21,1401,1051.03,1741,1303.95,1347,1011.94
1952,600496.SH,20200217,100452,3323.91,165418,5470.27,107485,3564.14,151361,5006.2,109396,3608.09,88826,2948.54,94902,3150.99,6631,222.12,79690,2664.03
