"Date","Open","High","Low","Close","Volume","Adj Close"
2016-05-18,120.0922,120.0922,118.9322,119.1822,4939000,119.1822
2016-05-19,119.4,119.92,118.68,118.75,2774000,118.75
2016-05-20,118.7478,119.1778,118.6778,119.0378,1975000,119.0378
2016-05-23,119.0312,119.5712,118.3012,119.2012,6589000,119.2012
2016-05-24,119.199,119.199,118.669,118.699,6499000,118.699
2016-05-25,118.7168,119.0568,117.9768,118.0068,2661000,118.0068
2016-05-26,118.4047,118.9447,117.1647,117.6347,10178000,117.6347
2016-05-27,117.5425,118.0625,116.3625,116.9125,9508000,116.9125
2016-05-30,116.8059,117.0959,116.2559,116.7159,1940000,116.7159
2016-05-31,116.7137,117.5837,116.6737,117.5537,11761000,117.5537
2016-06-01,117.5515,118.0115,117.5015,117.5615,8129000,117.5615
2016-06-02,117.4593,117.8493,117.4593,117.6593,3013000,117.6593
2016-06-03,117.2971,117.7271,117.1471,117.6671,2509000,117.6671
2016-06-06,117.6605,118.0205,117.4405,117.5705,1090000,117.5705
2016-06-07,117.5684,117.5984,116.1884,116.3684,3156000,116.3684
2016-06-08,116.1362,116.3662,115.8962,116.1962,1324000,116.1962
2016-06-13,115.9252,116.0352,115.3252,115.3652,1457000,115.3652
2016-06-14,115.613,115.613,114.973,115.173,1198000,115.173
2016-06-15,115.0708,115.5608,114.7308,115.1608,3866000,115.1608
2016-06-16,115.2186,115.3186,114.9086,114.9186,2278000,114.9186
2016-06-17,115.0264,115.2164,114.5464,114.7464,7782000,114.7464
2016-06-20,114.0299,115.0399,114.0099,114.5599,4277000,114.5599
2016-06-21,114.7077,115.0377,114.3077,114.3777,2593000,114.3777
2016-06-22,114.0355,114.5955,114.0355,114.4555,1177000,114.4555
2016-06-23,114.4533,116.0533,114.2433,115.4033,26065000,115.4033
2016-06-24,115.4011,115.8311,114.0011,115.2011,2442000,115.2011
2016-06-27,115.5245,115.5245,114.6245,115.1845,2473000,115.1845
2016-06-28,115.0823,115.1923,114.6423,115.1923,2882000,115.1923
2016-06-29,115.3801,115.4101,114.7801,115.2801,3072000,115.2801
2016-06-30,115.4579,115.4679,115.0679,115.2679,2232000,115.2679
2016-07-01,115.3858,115.8158,115.2058,115.4958,4758000,115.4958
2016-07-04,115.3192,116.3192,115.3092,116.3192,6352000,116.3192
2016-07-05,115.797,117.447,115.797,117.217,13754000,117.217
2016-07-06,117.4348,118.2248,116.8548,117.6148,28626000,117.6148
2016-07-07,117.5726,117.6726,115.8726,117.5726,32837000,117.5726
2016-07-08,117.1904,117.4704,116.6904,117.3704,3336000,117.3704
2016-07-11,116.9638,117.5638,116.9638,117.0938,573000,117.0938
2016-07-12,116.5716,117.7516,116.5616,117.3716,4581000,117.3716
