,ts_code,trade_date,close,open,high,low,pre_close,change,pct_chg,vol,amount
2602,000300.SH,20121015,2294.857,2306.006,2307.882,2278.457,2304.531,-9.674,-0.4198,28651746.0,28569021.615
2603,000300.SH,20121012,2304.531,2311.284,2332.149,2287.009,2302.533,1.998,0.0868,36874145.0,33205903.773
2604,000300.SH,20121011,2302.533,2315.897,2321.352,2300.934,2324.117,-21.584,-0.9287,41300655.0,36172963.459
2605,000300.SH,20121010,2324.117,2314.593,2325.749,2304.608,2320.157,3.96,0.1707,42686238.0,37873996.221
2606,000300.SH,20121009,2320.157,2281.753,2327.727,2281.753,2270.054,50.103,2.2071,52548887.0,48330196.363
2607,000300.SH,20121008,2270.054,2291.961,2305.18,2258.11,2293.106,-23.052,-1.0053,35534424.0,33915840.25
2608,000300.SH,20120928,2293.106,2235.057,2297.033,2234.323,2251.717,41.389,1.8381,57875825.0,54431465.854
2609,000300.SH,20120927,2251.717,2186.004,2266.297,2185.766,2184.891,66.826,3.0586,53016900.0,48210577.766
2610,000300.SH,20120926,2184.891,2208.906,2216.824,2181.083,2210.154,-25.263,-1.143,27454626.0,24918916.453
2611,000300.SH,20120925,2210.154,2209.975,2225.334,2202.376,2215.516,-5.362,-0.242,27877019.0,26677064.455
2612,000300.SH,20120924,2215.516,2183.969,2225.805,2172.879,2199.063,16.453,0.7482,37501686.0,33608761.246
2613,000300.SH,20120921,2199.063,2190.327,2217.473,2186.53,2195.951,3.112,0.1417,38120593.0,34043368.088
2614,000300.SH,20120920,2195.951,2236.191,2236.191,2194.221,2246.236,-50.285,-2.2386,42545779.0,38385856.464
2615,000300.SH,20120919,2246.236,2237.218,2249.243,2229.489,2235.239,10.997,0.492,34349706.0,32607010.935
2616,000300.SH,20120918,2235.239,2249.425,2253.144,2228.042,2258.705,-23.466,-1.0389,33228696.0,30171497.189
2617,000300.SH,20120917,2258.705,2312.055,2314.989,2258.182,2315.542,-56.837,-2.4546,48984734.0,43753169.666
2618,000300.SH,20120914,2315.542,2324.012,2332.417,2298.83,2298.461,17.081,0.7431,61571814.0,55438612.876
2619,000300.SH,20120913,2298.461,2316.679,2325.534,2298.367,2320.071,-21.61,-0.9314,42049849.0,38023998.305
2620,000300.SH,20120912,2320.071,2325.925,2337.196,2298.297,2311.89,8.181,0.3539,49622518.0,46485174.475
2621,000300.SH,20120911,2311.89,2316.532,2316.532,2294.82,2326.666,-14.776,-0.6351,46260719.0,43389766.043
2622,000300.SH,20120910,2326.666,2320.557,2334.496,2313.572,2317.179,9.487,0.4094,65330554.0,63252038.538
2623,000300.SH,20120907,2317.179,2233.912,2341.522,2233.912,2217.823,99.356,4.4799,94529764.0,84302249.171
2624,000300.SH,20120906,2217.823,2204.436,2218.68,2199.857,2199.875,17.948,0.8159,31695884.0,26873315.868
2625,000300.SH,20120905,2199.875,2199.743,2209.536,2186.962,2204.407,-4.532,-0.2056,34751824.0,30445168.179
2626,000300.SH,20120904,2204.407,2231.716,2234.875,2199.509,2228.369,-23.962,-1.0753,34852688.0,33220203.922
2627,000300.SH,20120903,2228.369,2201.123,2236.563,2197.708,2204.868,23.501,1.0659,38548592.0,35299176.728
2628,000300.SH,20120831,2204.868,2205.573,2218.866,2203.123,2211.37,-6.502,-0.294,25964986.0,23340891.008
2629,000300.SH,20120830,2211.37,2204.515,2223.195,2188.724,2214.814,-3.444,-0.1555,35491310.0,33867206.099
2630,000300.SH,20120829,2214.814,2230.199,2240.112,2214.429,2238.411,-23.597,-1.0542,29010648.0,27396186.648
2631,000300.SH,20120828,2238.411,2226.898,2250.6,2222.001,2228.204,10.207,0.4581,33773615.0,30331076.332
2632,000300.SH,20120827,2228.204,2268.485,2268.485,2228.151,2275.677,-47.473,-2.0861,37386191.0,35384156.112
2633,000300.SH,20120824,2275.677,2295.684,2299.298,2274.566,2302.199,-26.522,-1.152,31869591.0,32986336.544
2634,000300.SH,20120823,2302.199,2298.18,2311.653,2285.367,2295.586,6.613,0.2881,31335342.0,33789603.948
2635,000300.SH,20120822,2295.586,2315.14,2317.373,2285.755,2313.703,-18.117,-0.783,31708412.0,31547519.179
